age,prop,sex
16,34.4,MALE
17,34.4,MALE
18,34.4,MALE
19,34.4,MALE
20,34.4,MALE
21,34.4,MALE
22,34.4,MALE
23,34.4,MALE
24,34.4,MALE
25,33.4,MALE
26,33.4,MALE
27,33.4,MALE
28,33.4,MALE
29,33.4,MALE
30,33.4,MALE
31,33.4,MALE
32,33.4,MALE
33,33.4,MALE
34,33.4,MALE
35,33.4,MALE
36,33.4,MALE
37,33.4,MALE
38,33.4,MALE
39,33.4,MALE
40,33.4,MALE
41,33.4,MALE
42,33.4,MALE
43,33.4,MALE
44,33.4,MALE
45,31.1,MALE
46,31.1,MALE
47,31.1,MALE
48,31.1,MALE
49,31.1,MALE
50,31.1,MALE
51,31.1,MALE
52,31.1,MALE
53,31.1,MALE
54,31.1,MALE
55,31.1,MALE
56,31.1,MALE
57,31.1,MALE
58,31.1,MALE
59,31.1,MALE
60,31.1,MALE
61,31.1,MALE
62,31.1,MALE
63,31.1,MALE
64,31.1,MALE
65,12.4,MALE
66,12.4,MALE
67,12.4,MALE
68,12.4,MALE
69,12.4,MALE
70,12.4,MALE
71,12.4,MALE
72,12.4,MALE
73,12.4,MALE
74,12.4,MALE
75,12.4,MALE
76,12.4,MALE
77,12.4,MALE
78,12.4,MALE
79,12.4,MALE
80,12.4,MALE
81,12.4,MALE
82,12.4,MALE
83,12.4,MALE
84,12.4,MALE
85,12.4,MALE
86,12.4,MALE
87,12.4,MALE
88,12.4,MALE
89,12.4,MALE
90,12.4,MALE
16,40.5,FEMALE
17,40.5,FEMALE
18,40.5,FEMALE
19,40.5,FEMALE
20,40.5,FEMALE
21,40.5,FEMALE
22,40.5,FEMALE
23,40.5,FEMALE
24,40.5,FEMALE
25,31.3,FEMALE
26,31.3,FEMALE
27,31.3,FEMALE
28,31.3,FEMALE
29,31.3,FEMALE
30,31.3,FEMALE
31,31.3,FEMALE
32,31.3,FEMALE
33,31.3,FEMALE
34,31.3,FEMALE
35,31.3,FEMALE
36,31.3,FEMALE
37,31.3,FEMALE
38,31.3,FEMALE
39,31.3,FEMALE
40,31.3,FEMALE
41,31.3,FEMALE
42,31.3,FEMALE
43,31.3,FEMALE
44,31.3,FEMALE
45,25,FEMALE
46,25,FEMALE
47,25,FEMALE
48,25,FEMALE
49,25,FEMALE
50,25,FEMALE
51,25,FEMALE
52,25,FEMALE
53,25,FEMALE
54,25,FEMALE
55,25,FEMALE
56,25,FEMALE
57,25,FEMALE
58,25,FEMALE
59,25,FEMALE
60,25,FEMALE
61,25,FEMALE
62,25,FEMALE
63,25,FEMALE
64,25,FEMALE
65,25,FEMALE
66,7.7,FEMALE
67,7.7,FEMALE
68,7.7,FEMALE
69,7.7,FEMALE
70,7.7,FEMALE
71,7.7,FEMALE
72,7.7,FEMALE
73,7.7,FEMALE
74,7.7,FEMALE
75,7.7,FEMALE
76,7.7,FEMALE
77,7.7,FEMALE
78,7.7,FEMALE
79,7.7,FEMALE
80,7.7,FEMALE
81,7.7,FEMALE
82,7.7,FEMALE
83,7.7,FEMALE
84,7.7,FEMALE
85,7.7,FEMALE
86,7.7,FEMALE
87,7.7,FEMALE
88,7.7,FEMALE
89,7.7,FEMALE
90,7.7,FEMALE
